equip_id,losses_total,abandoned,abandoned_and_destroyed,captured,captured_and_destroyed,captured_and_stripped
1,20,1,None,14,None,None
2,3,None,None,1,None,None
3,2,None,None,None,None,None
4,1,None,None,None,None,None
5,3,None,None,1,None,None
6,1,None,None,None,None,None
7,5,1,None,1,None,None
8,1,None,None,None,1,None
9,139,6,None,38,None,2
10,26,None,1,1,None,None
